VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EB0J,Thurston,Olympia,WA,98512,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,35,104823078,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067012730
WA1AAAGE9M,Kitsap,Port Orchard,WA,98367,2021,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,222,0,35,156660507,POINT (-122.6530052 47.4739066),PUGET SOUND ENERGY INC,53035092901
5YJ3E1EA2J,Yakima,Yakima,WA,98902,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,14,269374108,POINT (-120.530331 46.59534),PACIFICORP,53077000500
5YJ3E1EA4N,Yakima,Yakima,WA,98902,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,213383894,POINT (-120.530331 46.59534),PACIFICORP,53077001202
7SAYGAEE2P,Snohomish,Bothell,WA,98012,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,229496046,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052009
WBY1Z4C51E,Yakima,Yakima,WA,98908,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,14,8045817,POINT (-120.611068 46.596645),PACIFICORP,53077000401
5YJSA1DPXC,Thurston,Olympia,WA,98502,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265,59900,22,188634442,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067010600
5YJSA1H27F,Yakima,Yakima,WA,98908,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,14,109175566,POINT (-120.611068 46.596645),PACIFICORP,53077002900
7FCTGBAA7P,Kitsap,Poulsbo,WA,98370,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,262803131,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090400
3C3CFFGE7H,King,Seattle,WA,98103,2017,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,43,9411349,POINT (-122.3499053 47.673887),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004600
1FMCU0LZ4M,Kitsap,Silverdale,WA,98383,2021,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,23,260383966,POINT (-122.7035285 47.660204),PUGET SOUND ENERGY INC,53035091302
5YJSA1H14E,Snohomish,Snohomish,WA,98296,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,1,225773271,POINT (-122.121841 47.841036),PUGET SOUND ENERGY INC,53061052112
5YJYGDEEXL,Snohomish,Everett,WA,98208,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,44,121781950,POINT (-122.2032349 47.8956271),PUGET SOUND ENERGY INC,53061041610
1G1RD6E42C,Yakima,Yakima,WA,98901,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,14,222080204,POINT (-120.4688751 46.6046178),PACIFICORP,53077000100
1FADP5CU9G,Thurston,Olympia,WA,98502,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,22,201044532,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067010520
1N4AZ1CP3J,Island,Coupeville,WA,98239,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,10,290902181,POINT (-122.6591616 48.1982108),PUGET SOUND ENERGY INC,53029971000
5YJ3E1EB3N,Yakima,Yakima,WA,98902,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,207337504,POINT (-120.530331 46.59534),PACIFICORP,53077001202
WA1LAAGE2P,Thurston,Yelm,WA,98597,2023,AUDI,E-TRON,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,227506191,POINT (-122.5715761 46.9095798),PUGET SOUND ENERGY INC,53067012530
1FADP3R44D,Kitsap,Poulsbo,WA,98370,2013,FORD,FOCUS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,76,0,23,121439048,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090502
5YJ3E1EB3J,Island,Greenbank,WA,98253,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,10,127230512,POINT (-122.566915 48.089609),PUGET SOUND ENERGY INC,53029971302
1N4AZ0CP7F,Thurston,Olympia,WA,98506,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,22,103818438,POINT (-122.86491 47.07503),PUGET SOUND ENERGY INC,53067010200
5YJ3E1EBXJ,King,Issaquah,WA,98029,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,5,475802505,POINT (-122.0209893 47.5632565),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032221
5YJ3E1EAXJ,King,Renton,WA,98055,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,11,261038984,POINT (-122.2003346 47.4487206),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029308
1G1FW6S03L,Kitsap,Port Orchard,WA,98367,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,26,264657851,POINT (-122.6530052 47.4739066),PUGET SOUND ENERGY INC,53035092801
5YJ3E1EA2L,Kitsap,Bainbridge Island,WA,98110,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,23,2254542,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035090901
1N4AZ1CP7J,Snohomish,Bothell,WA,98021,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,1,476219747,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051937
5YJSA1E25H,Snohomish,Woodinville,WA,98077,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,1,350319504,POINT (-122.071404 47.749164),PUGET SOUND ENERGY INC,53061051912
5YJ3E1EB1K,King,Issaquah,WA,98029,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,5,476823931,POINT (-122.0209893 47.5632565),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032220
5YJXCDE26J,Snohomish,Bothell,WA,98021,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,1,109898680,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051938
7SAYGAEE5P,Kitsap,Kingston,WA,98346,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,257904923,POINT (-122.5178351 47.7981436),PUGET SOUND ENERGY INC,53035090102
5YJSA1DN5C,Snohomish,Lynnwood,WA,98037,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265,59900,32,136165669,POINT (-122.283973 47.838697),PUGET SOUND ENERGY INC,53061051602
1G1FW6S00H,Kitsap,Suquamish,WA,98392,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,23,188034661,POINT (-122.5591128 47.7346457),PUGET SOUND ENERGY INC,53035940100
KNDJX3AE8G,Yakima,Yakima,WA,98908,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,14,169289970,POINT (-120.611068 46.596645),PACIFICORP,53077000402
5YJYGDEF3L,Kitsap,Kingston,WA,98346,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,23,104791375,POINT (-122.5178351 47.7981436),PUGET SOUND ENERGY INC,53035090101
1N4BZ0CP3H,Kitsap,Bremerton,WA,98310,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,23,227492128,POINT (-122.6231895 47.5930874),PUGET SOUND ENERGY INC,53035080200
5YJ3E1EA5J,Snohomish,Bothell,WA,98012,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21,196819689,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061041703
WBY1Z2C58E,King,Duvall,WA,98019,2014,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,45,8371086,POINT (-121.956372 47.735604),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032401
1N4BZ0CP1H,Snohomish,Bothell,WA,98021,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,1,145134853,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051916
5YJXCDE27J,King,Seattle,WA,98134,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,11,218860330,POINT (-122.3290729 47.5773571),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009300
5YJ3E1EB2J,Snohomish,Lake Stevens,WA,98258,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,44,262700917,POINT (-122.0816912 48.0122934),PUGET SOUND ENERGY INC,53061052607
1N4BZ1DP8L,King,Seattle,WA,98115,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,46,259145267,POINT (-122.3008235 47.6862671),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002500
5YJ3E1EB6K,Kitsap,Poulsbo,WA,98370,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,23,261144047,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090201
3FA6P0PU0E,Snohomish,Bothell,WA,98021,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,1,256753220,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051938
5YJ3E1EA6J,Island,Coupeville,WA,98239,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,10,350193203,POINT (-122.6591616 48.1982108),PUGET SOUND ENERGY INC,53029971100
5UXTS1C06M,Kitsap,Kingston,WA,98346,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,23,166394833,POINT (-122.5178351 47.7981436),PUGET SOUND ENERGY INC,53035090102
WAUSPBFF1J,King,Seattle,WA,98117,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,0,36,197268032,POINT (-122.377938 47.690166),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003202
1N4AZ0CP2D,King,Seattle,WA,98144,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,37,236153935,POINT (-122.3016563 47.5858977),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010002
3C3CFFGE6E,Kitsap,Bremerton,WA,98312,2014,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,35,348695021,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035080700
WBY1Z2C59F,King,Seattle,WA,98117,2015,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,36,167141285,POINT (-122.377938 47.690166),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003202
7SAYGDEE6P,Kitsap,Bremerton,WA,98311,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,238369785,POINT (-122.636245 47.62806),PUGET SOUND ENERGY INC,53035091701
5UXTA6C05P,Kitsap,Kingston,WA,98346,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,23,220323715,POINT (-122.5178351 47.7981436),PUGET SOUND ENERGY INC,53035090102
5YJ3E1EB2J,King,Seattle,WA,98199,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,36,268679134,POINT (-122.394937 47.649547),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005600
1G1FZ6S0XK,Thurston,Lacey,WA,98503,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,22,154553129,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011628
5YJ3E1EA7J,Thurston,Olympia,WA,98506,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,22,198214327,POINT (-122.86491 47.07503),PUGET SOUND ENERGY INC,53067010200
5YJSA1E20H,Yakima,Selah,WA,98942,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,15,348359546,POINT (-120.5517376 46.6678647),PACIFICORP,53077003400
1N4AZ0CP7D,Yakima,Wapato,WA,98951,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,15,211150110,POINT (-120.448617 46.4426932),PACIFICORP,53077940007
1FADP5CU2F,Kitsap,Port Orchard,WA,98366,2015,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,26,6369121,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53035092500
1N4AZ0CPXD,Yakima,Yakima,WA,98902,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,14,195250156,POINT (-120.530331 46.59534),PACIFICORP,53077000800
WBY1Z8C38H,King,Renton,WA,98059,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,0,11,109661478,POINT (-122.134502 47.492627),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025602
3C3CFFGE9H,Kitsap,Port Orchard,WA,98367,2017,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,26,108857717,POINT (-122.6530052 47.4739066),PUGET SOUND ENERGY INC,53035092101
WMEEJ9AA1E,Yakima,Yakima,WA,98902,2014,SMART,FORTWO ELECTRIC DRIVE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58,0,14,348973390,POINT (-120.530331 46.59534),PACIFICORP,53077000800
5YJXCBE22H,Snohomish,Snohomish,WA,98290,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,44,127202344,POINT (-122.0483457 47.9435765),PUGET SOUND ENERGY INC,53061052502
5YJ3E1EA3J,Kitsap,Bremerton,WA,98312,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,35,315650730,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035091301
JM3KKBHA4R,Thurston,Olympia,WA,98502,2024,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,22,258501596,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067010520
5YJ3E1EA9L,King,Redmond,WA,98052,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,48,109674358,POINT (-122.1207376 47.6705374),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022902
7SAYGAEE4P,Yakima,Yakima,WA,98903,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,258967600,POINT (-120.5807155 46.5654909),PACIFICORP,53077002803
5YJ3E1EA2K,King,Renton,WA,98055,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,11,219401507,POINT (-122.2003346 47.4487206),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025806
JTDKN3DP0F,Yakima,Moxee,WA,98936,2015,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,15,132420991,POINT (-120.3552229 46.550869),PACIFICORP,53077001702
1FADP5CU6F,Kitsap,Bremerton,WA,98311,2015,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,23,4190413,POINT (-122.636245 47.62806),PUGET SOUND ENERGY INC,53035091800
7SAYGAEE5N,Thurston,Lacey,WA,98503,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,256110816,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011421
KMHC65LD9L,Kitsap,Bremerton,WA,98312,2020,HYUNDAI,IONIQ,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,29,0,35,8874211,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035080900
1FMCU0KZ0N,Thurston,Rochester,WA,98579,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,35,197535796,POINT (-123.0498592 46.8153419),PUGET SOUND ENERGY INC,53067012720
1N4AZ1CP0K,King,Bothell,WA,98011,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,1,476783093,POINT (-122.201408 47.754528),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021803
KNDPZDAH5P,Yakima,Yakima,WA,98902,2023,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,0,14,238039126,POINT (-120.530331 46.59534),PACIFICORP,53077000800
1G1RB6S50K,Thurston,Lacey,WA,98503,2019,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,22,316710355,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011628
5UXTS1C08M,King,Bellevue,WA,98006,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,41,141984146,POINT (-122.144149 47.560742),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024901
1G1RA6S58H,Kitsap,Hansville,WA,98340,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,23,164941983,POINT (-122.5638082 47.8995458),PUGET SOUND ENERGY INC,53035090101
3FA6P0SU0L,Kitsap,Bremerton,WA,98312,2020,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,35,133567066,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035091400
1N4AZ0CP5F,Thurston,Olympia,WA,98512,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,35,187027753,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067011000
3C3CFFGE4E,King,Seattle,WA,98105,2014,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,43,312754718,POINT (-122.304212 47.664294),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004401
5YJ3E1EA2K,Kitsap,Silverdale,WA,98383,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,23,105026694,POINT (-122.7035285 47.660204),PUGET SOUND ENERGY INC,53035091302
WBY1Z2C58E,King,Seattle,WA,98118,2014,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,37,223784396,POINT (-122.2753318 47.5411053),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011802
5YJSA1E22K,King,Redmond,WA,98052,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,0,45,260171922,POINT (-122.1207376 47.6705374),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032330
WBY1Z2C58G,Snohomish,Bothell,WA,98021,2016,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,1,180430512,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051916
1FADP5CU8F,Thurston,Olympia,WA,98502,2015,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,22,140718749,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067010520
7SAYGAEE2P,Kitsap,Bremerton,WA,98312,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,238386585,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035092000
1N4AZ0CPXF,King,Seattle,WA,98103,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,46,173132018,POINT (-122.3499053 47.673887),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001800
WBY1Z2C52F,King,Seattle,WA,98115,2015,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,46,293870629,POINT (-122.3008235 47.6862671),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002200
5YJXCAE27J,Snohomish,Brier,WA,98036,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,1,475871532,POINT (-122.287143 47.812199),PUGET SOUND ENERGY INC,53061051914
5YJ3E1EB3L,King,Sammamish,WA,98074,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,45,9867658,POINT (-122.0430602 47.6259676),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032225
1N4AZ0CP7F,Thurston,Olympia,WA,98506,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,22,227593782,POINT (-122.86491 47.07503),PUGET SOUND ENERGY INC,53067010200
5YJ3E1EA0L,Snohomish,Mill Creek,WA,98012,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,44,104137120,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052004
1N4AZ0CP8F,King,Seattle,WA,98115,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,46,205211275,POINT (-122.3008235 47.6862671),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002100
WBY1Z6C53H,Thurston,Yelm,WA,98597,2017,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,2,169680787,POINT (-122.5715761 46.9095798),PUGET SOUND ENERGY INC,53067012422
5YJSA1E23H,Yakima,Yakima,WA,98901,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,15,255647577,POINT (-120.4688751 46.6046178),PACIFICORP,53077001601
1G1RH6E47D,Thurston,Olympia,WA,98516,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,22,263340724,POINT (-122.78083 47.083975),PUGET SOUND ENERGY INC,53067012221
1G1FW6S06H,Thurston,Yelm,WA,98597,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,2,141295157,POINT (-122.5715761 46.9095798),PUGET SOUND ENERGY INC,53067012421
KNDCD3LD2N,Thurston,Olympia,WA,98513,2022,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,2,180046744,POINT (-122.7654699 46.9970624),PUGET SOUND ENERGY INC,53067012331
7SAXCAE58P,Thurston,Olympia,WA,98516,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,257498811,POINT (-122.78083 47.083975),PUGET SOUND ENERGY INC,53067012221
5YJSA1DP6D,Snohomish,Edmonds,WA,98020,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,21,5214422,POINT (-122.3757836 47.800042),PUGET SOUND ENERGY INC,53061050502
WVWKR7AUXK,Snohomish,Snohomish,WA,98296,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,0,1,229915150,POINT (-122.121841 47.841036),PUGET SOUND ENERGY INC,53061052112
1FADP5CU1G,Kitsap,Bremerton,WA,98312,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,35,139782765,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035080900
JM3KKEHA2R,Thurston,Olympia,WA,98513,2024,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,2,266807649,POINT (-122.7654699 46.9970624),PUGET SOUND ENERGY INC,53067012332
5YJYGDEE6L,Thurston,Olympia,WA,98502,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,22,124741795,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067010520
3FA6P0PU9F,Thurston,Lacey,WA,98503,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,22,123783383,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011628
JTDKARFPXH,Kitsap,Kingston,WA,98346,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,23,207330084,POINT (-122.5178351 47.7981436),PUGET SOUND ENERGY INC,53035090101
YV4H60DL2N,Thurston,Olympia,WA,98502,2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,22,258246019,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067012002
JA4J24A58J,Kitsap,Poulsbo,WA,98370,2018,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,23,122317702,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090202
